    p 1 2 3 4 5 6 7 8 9 A B C D E     SSEp        r2    r2.adj         Cp      AICp      SBCp   PRESSp
1   2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 898.6732 0.3103528 0.3102379 366.642138 -11387.57 -11374.17 899.3712
2   3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 865.0178 0.3361802 0.3359588 130.360832 -11614.59 -11594.49 866.0805
3   4 1 0 0 0 0 0 0 0 0 1 0 0 1 0 857.9105 0.3416344 0.3413050  82.040281 -11662.09 -11635.29 859.3032
4   5 1 1 0 0 0 0 0 0 0 1 0 0 1 0 853.5119 0.3450099 0.3445729  52.898011 -11690.93 -11657.43 855.1849
5   6 1 1 0 0 0 0 0 0 0 1 1 0 1 0 850.4151 0.3473864 0.3468420  32.972549 -11710.74 -11670.54 852.3944
6   7 1 1 0 0 1 0 0 0 0 1 1 0 1 0 848.3649 0.3489597 0.3483079  20.457594 -11723.22 -11676.33 850.6332
7   8 1 1 0 0 1 0 0 0 0 1 1 1 1 0 847.3803 0.3497153 0.3489557  15.486142 -11728.19 -11674.59 849.9693
8   9 1 1 1 0 1 0 0 0 0 1 1 1 1 0 846.7784 0.3501772 0.3493095  13.225022 -11730.45 -11670.16 849.6727
9  10 1 1 0 0 1 0 1 1 0 1 1 1 1 0 846.1671 0.3506464 0.3496707  10.896599 -11732.79 -11665.79 849.3688
10 11 1 1 1 0 1 0 1 1 0 1 1 1 1 0 845.5362 0.3511305 0.3500470   8.430331 -11735.26 -11661.57 849.0437
11 12 1 1 1 0 1 0 1 1 0 1 1 1 1 1 845.4177 0.3512214 0.3500296   9.591185 -11734.10 -11653.71 849.2297
12 13 1 1 1 0 1 1 1 1 0 1 1 1 1 1 845.3761 0.3512533 0.3499530  11.296611 -11732.40 -11645.30 849.4857
13 14 1 1 1 1 1 1 1 1 0 1 1 1 1 1 845.3352 0.3512848 0.3498759  13.006632 -11730.69 -11636.90 849.7166
14 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 845.3342 0.3512855 0.3497680  15.000000 -11728.70 -11628.20 850.0231
