DISTRESS.1 DISTRESS.2 BLACK NBHISP GRADE SLFHLTH SLFWGHT WORKHARD GOODQUAL PHYSFIT PROUD LIKESLF ACCEPTED FEELLOVD DIET 
0.47 0.40 0 0 10 4 4 2 2 2 2 5 2 2 1
0.05 0.09 0 0  8 2 3 1 1 2 1 1 2 1 1
0.63 0.69 0 0  8 2 3 2 2 2 2 3 2 2 0
0.16 0.08 1 0  9 1 4 2 1 2 1 2 2 1 1
1.79 1.41 1 0  9 4 4 1 2 2 2 3 3 2 0
0.32 0.52 0 0 10 1 3 1 1 2 1 4 1 1 0
1.11 1.32 0 0 10 2 3 1 1 2 1 2 2 2 0
0.32 0.29 0 0  9 3 4 2 1 3 2 2 3 3 0
0.26 0.43 0 0 10 1 4 2 2 2 2 1 3 2 0
0.89 1.76 1 0 10 2 2 2 2 1 1 1 1 1 0
0.42 0.32 0 0  7 2 4 3 2 3 1 2 2 1 1
0.16 0.35 0 0  8 1 2 2 1 1 1 1 1 2 0
0.42 0.47 0 0 11 4 4 2 2 3 1 3 4 2 1
0.21 0.42 0 0  8 3 3 1 1 2 1 2 2 1 0
1.42 1.85 0 0  9 4 3 2 3 3 3 5 4 3 0
1.16 1.20 0 0  9 3 2 3 2 2 1 1 2 1 0
0.37 0.45 1 0 11 2 2 2 2 2 2 2 2 2 0
0.68 0.57 0 0  9 2 4 3 2 2 2 4 3 2 1
0.89 0.21 0 0  8 3 5 3 2 2 2 2 2 2 0
0.47 0.84 0 0 11 2 4 1 2 3 3 1 4 3 1
0.11 0.10 1 0  9 1 3 2 1 1 1 1 1 1 0
0.79 1.07 0 0  9 2 2 3 2 2 1 2 2 2 0
1.11 0.31 0 0 10 3 2 1 2 2 2 2 2 2 1
0.68 0.78 0 1 11 3 3 1 2 2 2 2 3 2 0
0.53 0.56 0 0  8 1 4 2 2 2 3 4 3 3 0
0.58 0.91 0 0 11 3 5 2 2 3 2 3 4 3 1
1.11 1.72 0 0 11 3 3 4 2 3 1 1 4 2 0
0.63 0.39 0 0 11 2 2 2 2 2 2 2 2 2 0
0.74 1.46 0 0  7 3 2 2 4 3 4 4 4 3 0
1.16 1.04 1 0  9 2 5 1 1 3 2 2 1 2 1
0.68 0.75 1 0  9 2 2 3 2 3 2 4 1 1 0
1.00 0.39 0 0 11 2 4 2 2 2 2 4 3 2 1
0.74 0.02 0 1  7 1 1 2 1 1 1 1 1 1 0
0.37 0.32 0 1 10 2 3 1 2 2 1 1 2 1 0
0.26 0.43 1 0 11 4 3 1 2 2 1 1 2 1 0
0.89 1.28 0 0  8 2 4 1 2 1 2 2 3 2 0
0.37 0.40 0 1 11 2 2 2 2 2 2 1 2 3 0
0.37 0.13 0 0 10 1 3 2 2 2 2 2 2 1 0
0.53 0.13 0 0 11 2 3 2 1 2 1 2 2 2 0
0.21 0.13 0 0  9 3 3 2 1 1 2 1 3 1 0
0.37 0.22 0 0  9 2 3 2 2 2 1 2 1 1 0
0.16 0.19 0 0  7 2 3 2 2 2 2 1 1 1 0
1.68 0.76 0 0  9 3 4 4 3 3 2 3 4 3 1
2.05 0.89 0 0  7 3 3 4 2 2 2 3 2 2 1
0.32 0.52 0 0 11 2 3 2 4 2 3 3 4 3 0
0.95 0.84 0 0  9 1 2 2 2 2 2 2 1 2 0
0.95 0.58 1 0  8 2 3 4 2 2 1 1 2 1 0
0.47 0.34 0 0  7 3 3 3 2 3 2 2 2 1 0
0.16 0.33 0 0 10 2 1 2 2 2 1 2 2 2 0
0.32 0.93 0 0 10 1 3 4 2 2 2 2 2 1 0
0.84 0.90 0 1  8 3 4 3 1 1 1 1 1 1 1
0.74 0.57 0 0 11 1 3 3 2 2 2 2 1 1 0
0.89 0.93 0 0 11 3 5 3 1 4 1 2 2 2 0
0.71 0.92 0 0  8 1 3 2 2 2 2 3 2 1 0
0.16 0.31 0 1 11 2 3 2 1 1 1 1 1 1 0
0.21 0.16 0 0  9 2 3 2 2 2 2 1 1 1 0
0.53 0.17 0 0  8 1 2 4 3 2 2 2 1 1 0
1.00 0.39 0 0  9 1 4 2 2 2 1 2 1 2 0
1.00 1.69 0 0  7 2 4 1 1 1 1 2 1 1 0
0.11 0.05 0 0 10 1 2 3 1 1 1 1 1 1 0
0.37 0.22 0 0  8 2 3 1 2 3 2 1 1 1 0
0.21 0.45 0 0 11 2 3 1 2 4 3 2 2 2 0
0.37 0.05 0 0 11 1 3 2 1 2 1 1 1 1 0
0.63 0.73 0 0 11 3 3 2 2 1 2 2 2 2 1
1.21 1.82 0 0 10 3 3 2 2 2 2 3 2 3 0
